Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
Fungal infection,1,3,4,0
Fungal infection,3,4,0,4
Fungal infection,1,4,0,4
Fungal infection,1,3,0,4
Fungal infection,1,3,4,4
Fungal infection,3,4,0,4
Fungal infection,1,4,0,4
Fungal infection,1,3,0,4
Fungal infection,1,3,4,4
Fungal infection,1,3,4,0
Allergy,4,5,3,4
Allergy,5,3,4,4
Allergy,4,3,4,4
Allergy,4,5,4,4
Allergy,4,5,3,4
Allergy,5,3,4,4
Allergy,4,3,4,4
Allergy,4,5,4,4
Allergy,4,5,3,4
Allergy,4,5,3,4
GERD,5,3,4,5
GERD,5,4,5,4
GERD,5,3,5,4
GERD,5,3,4,4
GERD,5,3,4,5
GERD,5,3,4,5
GERD,3,4,5,4
GERD,5,4,5,4
GERD,5,3,5,4
GERD,5,3,4,4
Chronic cholestasis,1,5,3,5
Chronic cholestasis,5,3,5,4
Chronic cholestasis,1,3,5,4
Chronic cholestasis,1,5,5,4
Chronic cholestasis,1,5,3,4
Chronic cholestasis,1,5,3,5
Chronic cholestasis,1,5,3,5
Chronic cholestasis,1,5,3,5
Chronic cholestasis,1,5,3,5
Chronic cholestasis,1,5,3,5
Drug Reaction,1,3,5,6
Drug Reaction,1,5,6,0
Drug Reaction,1,3,6,0
Drug Reaction,1,3,5,0
Drug Reaction,1,3,5,6
Drug Reaction,3,5,6,0
Drug Reaction,1,5,6,0
Drug Reaction,1,3,6,0
Drug Reaction,1,3,5,0
Drug Reaction,1,3,5,6
Peptic ulcer diseae,5,4,4,5
Peptic ulcer diseae,5,5,4,5
Peptic ulcer diseae,5,4,4,5
Peptic ulcer diseae,5,4,4,5
Peptic ulcer diseae,5,5,4,5
Peptic ulcer diseae,5,5,4,5
Peptic ulcer diseae,5,5,4,4
Peptic ulcer diseae,5,5,4,4
Peptic ulcer diseae,5,5,4,4
Peptic ulcer diseae,5,5,4,4
AIDS,3,6,7,5
AIDS,6,7,5,4
AIDS,3,7,5,4
AIDS,3,6,5,4
AIDS,3,6,7,4
AIDS,3,6,7,5
AIDS,3,6,7,5
AIDS,6,7,5,4
AIDS,3,7,5,4
AIDS,3,6,7,4
Diabetes,4,3,5,2
Diabetes,4,3,5,2
Diabetes,3,5,2,5
Diabetes,4,5,2,5
Diabetes,4,3,2,5
Diabetes,4,3,5,5
Diabetes,4,3,5,2
Diabetes,4,3,5,2
Diabetes,4,3,5,2
Diabetes,4,3,5,2
Gastroenteritis,5,3,4,6
Gastroenteritis,5,3,4,6
Gastroenteritis,3,4,6,4
Gastroenteritis,5,4,6,4
Gastroenteritis,5,3,6,4
Gastroenteritis,5,3,4,4
Gastroenteritis,5,3,4,6
Gastroenteritis,3,4,6,4
Gastroenteritis,5,4,6,4
Gastroenteritis,5,3,6,4
Bronchial Asthma,4,4,7,4
Bronchial Asthma,4,7,4,5
Bronchial Asthma,4,7,4,5
Bronchial Asthma,4,4,4,5
Bronchial Asthma,4,4,7,5
Bronchial Asthma,4,4,7,4
Bronchial Asthma,4,4,7,4
Bronchial Asthma,4,4,7,4
Bronchial Asthma,4,7,4,5
Bronchial Asthma,4,7,4,5
Hypertension,3,7,4,4
Hypertension,7,4,4,3
Hypertension,3,4,4,3
Hypertension,3,7,4,3
Hypertension,3,7,4,3
Hypertension,3,7,4,4
Hypertension,3,7,4,4
Hypertension,7,4,4,3
Hypertension,3,4,4,3
Hypertension,3,7,4,3
Migraine,3,5,3,5
Migraine,5,3,5,4
Migraine,3,3,5,4
Migraine,3,5,5,4
Migraine,3,5,3,4
Migraine,3,5,3,5
Migraine,3,5,3,5
Migraine,3,5,3,5
Migraine,3,5,3,5
Migraine,3,5,3,5
Cervical spondylosis,3,7,5,4
Cervical spondylosis,3,7,5,4
Cervical spondylosis,7,5,4,4
Cervical spondylosis,3,5,4,4
Cervical spondylosis,3,7,4,4
Cervical spondylosis,3,7,5,4
Cervical spondylosis,3,7,5,4
Cervical spondylosis,3,7,5,4
Cervical spondylosis,7,5,4,4
Cervical spondylosis,3,5,4,4
Paralysis (brain hemorrhage),5,3,4,2
Paralysis (brain hemorrhage),5,3,4,2
Paralysis (brain hemorrhage),3,4,2,4
Paralysis (brain hemorrhage),5,4,2,4
Paralysis (brain hemorrhage),5,3,2,4
Paralysis (brain hemorrhage),5,3,4,4
Paralysis (brain hemorrhage),5,3,4,2
Paralysis (brain hemorrhage),3,4,2,4
Paralysis (brain hemorrhage),5,4,2,4
