Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
Fungal infection,itching, skin rash, nodal skin eruptions, dischromic  patches
Fungal infection, skin rash, nodal skin eruptions, dischromic  patches,
Fungal infection,itching, nodal skin eruptions, dischromic  patches,
Fungal infection,itching, skin rash, dischromic  patches,
Fungal infection,itching, skin rash, nodal skin eruptions,
Fungal infection, skin rash, nodal skin eruptions, dischromic  patches,
Fungal infection,itching, nodal skin eruptions, dischromic  patches,
Fungal infection,itching, skin rash, dischromic  patches,
Fungal infection,itching, skin rash, nodal skin eruptions,
Fungal infection,itching, skin rash, nodal skin eruptions, dischromic  patches
Allergy, continuous sneezing, shivering, chills, watering from eyes
Allergy, shivering, chills, watering from eyes,
Allergy, continuous sneezing, chills, watering from eyes,
Allergy, continuous sneezing, shivering, watering from eyes,
Allergy, continuous sneezing, shivering, chills,
Allergy, shivering, chills, watering from eyes,
Allergy, continuous sneezing, chills, watering from eyes,
Allergy, continuous sneezing, shivering, watering from eyes,
Allergy, continuous sneezing, shivering, chills,
Allergy, continuous sneezing, shivering, chills, watering from eyes
GERD, stomach pain, acidity, ulcers on tongue, vomiting
GERD, stomach pain, ulcers on tongue, vomiting, cough
GERD, stomach pain, acidity, vomiting, cough
GERD, stomach pain, acidity, ulcers on tongue, cough
GERD, stomach pain, acidity, ulcers on tongue, vomiting
GERD, stomach pain, acidity, ulcers on tongue, vomiting
GERD, acidity, ulcers on tongue, vomiting, cough
GERD, stomach pain, ulcers on tongue, vomiting, cough
GERD, stomach pain, acidity, vomiting, cough
GERD, stomach pain, acidity, ulcers on tongue, cough
Chronic cholestasis,itching, vomiting, yellowish skin, nausea
Chronic cholestasis, vomiting, yellowish skin, nausea, loss of appetite
Chronic cholestasis,itching, yellowish skin, nausea, loss of appetite
Chronic cholestasis,itching, vomiting, nausea, loss of appetite
Chronic cholestasis,itching, vomiting, yellowish skin, loss of appetite
Chronic cholestasis,itching, vomiting, yellowish skin, nausea
Chronic cholestasis,itching, vomiting, yellowish skin, nausea
Chronic cholestasis,itching, vomiting, yellowish skin, nausea
Chronic cholestasis,itching, vomiting, yellowish skin, nausea
Chronic cholestasis,itching, vomiting, yellowish skin, nausea
Drug Reaction,itching, skin rash, stomach pain, burning micturition
Drug Reaction,itching, stomach pain, burning micturition, spotting  urination
Drug Reaction,itching, skin rash, burning micturition, spotting  urination
Drug Reaction,itching, skin rash, stomach pain, spotting  urination
Drug Reaction,itching, skin rash, stomach pain, burning micturition
Drug Reaction, skin rash, stomach pain, burning micturition, spotting  urination
